personId|tagName
6597069812321|William_Wordsworth
8796093047542|Henry_Kissinger
19791209314115|Anthony_Hopkins
8796093045836|Martin_Scorsese
28587302373011|Prince_Philip,_Duke_of_Edinburgh
17592186062450|James_Cameron
6597069815298|Nepal
10995116349392|Albania
30786325643861|Robert_De_Niro
24189255811776|British_Empire
24189255855296|Gamal_Abdel_Nasser
17592186098863|Richard_Burton
28587302340029|Nero
15393162815025|James_II_of_England
17592186057426|Pope_Pius_XII
26388279073751|Jimi_Hendrix
10995116345809|Rembrandt
2199023313860|Bruce_Springsteen
15393162808708|Gautama_Buddha
19791209356948|Judy_Garland
26388279124125|Nicolaus_Copernicus
8796093065166|James_Cook
10995116323767|John_the_Baptist
28587302364119|Leon_Trotsky
6597069809706|Mohammad_Reza_Pahlavi
21990232578613|Desiderius_Erasmus
24189255818088|Angola
15393162837654|Republic_of_Macedonia
32985348879378|Francis_of_Assisi
32985348882167|Walter_Scott
24189255826239|John_McCain
32985348897526|Paraguay
19292|Democratic_Republic_of_the_Congo
28587302333789|Laurence_Olivier
2199023258902|Léopold_Sédar_Senghor
21990232592445|Barbra_Streisand
23598|Anton_Chekhov
17592186068321|Otto_von_Bismarck
19791209335403|Thomas_More
4398046566584|Alanis_Morissette
24189255859116|Ghana
8796093032246|Tanzania
8796093089006|Charlton_Heston
19791209304304|John_Kerry
8796093088741|Austria-Hungary
4398046561936|Lewis_Carroll
24189255839282|Henrik_Ibsen
8796093055516|Robert_E._Lee
24189255862212|Charles_Lindbergh
30786325580460|Alexander_Hamilton
2199023302385|Carlos_Santana
24189255857014|George_Gershwin
13194139558922|Henry_IV_of_France
24189255865845|Agatha_Christie
32985348857209|Miguel_de_Cervantes
19791209357921|Robert_Louis_Stevenson
8796093049952|Herbert_Hoover
13194139580446|Jane_Austen
32985348852787|Carl_Jung
2199023294188|Eleanor_Roosevelt
24189255840260|William_Howard_Taft
15393162820545|Philip_II_of_Spain
28587302379716|Costa_Rica
2199023291155|Virginia_Woolf
4398046571387|Pope_Paul_VI
8796093075150|Nicaragua
26388279128402|Britney_Spears
6597069837829|Brad_Pitt
30786325599523|Herman_Melville
13194139556147|Raphael
21990232608090|Robert_A._Heinlein
28587302381136|Eric_Clapton
2199023268726|Montenegro
21990232608178|Stephen_Fry
28587302345584|Eminem
19791209352525|Kuwait
2199023306462|Cary_Grant
19791209306502|East_Germany
26388279115610|Monaco
32985348872292|William_Faulkner
15393162840347|Kurt_Vonnegut
19791209341201|Azerbaijan
19791209319374|James_Madison
10995116309631|William_S._Burroughs
21990232605498|Superman
19791209332309|Bermuda
30786325637062|Jonathan_Swift
24189255823671|Walt_Whitman
30786325608565|Somalia
21990232603912|John_Steinbeck
30786325648338|Ringo_Starr
13194139602645|United_Arab_Emirates
26388279115638|Giacomo_Puccini
4398046522873|Robin_Williams
32985348904631|Felix_Mendelssohn
59757|Roger_Ebert
36427|David_Cameron
24189255835043|Mick_Jagger
8796093061997|Samuel_Johnson
26388279096887|Constantine_the_Great
4398046555174|El_Salvador
6597069796940|Grover_Cleveland
26388279096205|Dustin_Hoffman
24189255819527|William_Lyon_Mackenzie_King
26388279069203|Catherine_the_Great
19791209354631|Batman
8796093093498|Aldous_Huxley
21990232625310|Henry_James
21990232582284|Malcolm_X
6597069824791|Commonwealth_of_Nations
13194139603737|Benjamin_Disraeli
26388279077714|Uzbekistan
