personId|maxDate
32985348864506|1348012800000
30786325625611|1347235200000
8796093037034|1342051200000
35635|1322179200000
17592186089960|1338940800000
2199023263826|1334966400000
2199023306462|1341273600000
24189255828588|1320105600000
19791209345555|1312416000000
26388279107154|1324425600000
30786325609836|1342396800000
21990232588188|1336780800000
26388279103382|1323475200000
15393162803125|1345507200000
15393162835849|1323475200000
19791209304304|1323216000000
10995116324955|1339027200000
32985348897526|1322697600000
4398046533347|1314057600000
8796093036783|1323129600000
2199023290216|1323648000000
10995116294307|1305504000000
30786325601094|1345161600000
19791209300504|1296691200000
17592186085380|1324080000000
28587302335530|1354060800000
24189255816104|1315267200000
19791209321281|1335916800000
26388279106720|1346889600000
30786325642329|1292112000000
26388279133875|1323475200000
21990232584778|1319241600000
30786325589993|1307145600000
21990232601628|1324857600000
10995116318777|1323475200000
17592186068321|1338854400000
10995116347981|1341187200000
2199023299311|1329350400000
15393162791498|1337299200000
21990232619336|1332288000000
24189255863060|1317772800000
4398046511396|1314057600000
30786325595951|1330732800000
19791209304132|1330819200000
8796093079715|1313539200000
15393162815025|1312934400000
21990232592492|1326758400000
6597069778143|1326326400000
21990232618792|1299196800000
2199023305354|1323993600000
2199023293678|1333411200000
13194139587450|1322697600000
17592186056797|1280793600000
4398046542762|1302307200000
21990232556962|1339113600000
6597069828978|1313193600000
19791209357612|1324166400000
30786325595417|1354060800000
8796093032246|1308614400000
26388279136905|1333584000000
19791209350939|1338508800000
66218|1320796800000
4398046567279|1305504000000
21990232588197|1307145600000
35184372142408|1348185600000
17592186084939|1311465600000
19791209346631|1323475200000
18836|1303603200000
4398046550500|1342656000000
15393162813753|1315180800000
24189255821585|1301616000000
26388279124125|1309737600000
13194139603737|1337990400000
21990232568406|1324598400000
28587302388954|1330905600000
30786325599523|1327104000000
15393162843653|1335398400000
21990232558884|1354060800000
10995116335468|1354060800000
21990232628410|1316304000000
24189255811776|1344643200000
15393162846123|1310515200000
26388279090450|1338940800000
21990232606458|1334880000000
19791209357921|1342569600000
30786325605171|1354060800000
4398046550001|1295568000000
19791209344354|1336435200000
3716|1301097600000
4398046522513|1326240000000
6597069821463|1341273600000
28587302340470|1324684800000
17592186045229|1291680000000
30786325610288|1292716800000
32985348900509|1349827200000
15393162804614|1302998400000
19791209365873|1339286400000
17592186052886|1319328000000
2199023288416|1325808000000
21990232626318|1323388800000
30786325607576|1307404800000
6597069815495|1347148800000
21990232557886|1315353600000
26388279105212|1324944000000
21990232608178|1339632000000
6597069821539|1349481600000
2199023299547|1324598400000
2199023258902|1323734400000
28587302324631|1329696000000
13194139581698|1342569600000
51284|1335916800000
17592186060834|1345161600000
72108|1339977600000
30786325601976|1323388800000
19791209355330|1333843200000
13194139546393|1322352000000
26388279112237|1352937600000
24189255827480|1339286400000
13194139549624|1342656000000
15393162793736|1326240000000
40732|1354060800000
15393162854718|1322784000000
4398046557502|1313020800000
30786325640340|1354060800000
32985348836419|1330560000000
6597069777273|1323993600000
28587302390708|1336608000000
26388279124983|1340496000000
17592186066668|1323648000000
26388279106950|1341705600000
21990232621394|1329609600000
17592186053621|1340236800000
26388279135049|1330646400000
6597069819439|1328572800000
30786325607466|1344556800000
4398046550495|1354060800000
17592186081577|1336089600000
8796093088667|1302134400000
2199023315215|1340236800000
52758|1354060800000
13194139577378|1345507200000
8796093079042|1315612800000
21990232575913|1314230400000
13194139583634|1354060800000
8796093028566|1340323200000
2199023294254|1333411200000
10995116315880|1354060800000
2199023302385|1340668800000
6597069776523|1339545600000
4398046554053|1343088000000
2199023308037|1341360000000
67297|1340236800000
51200|1296086400000
4398046553558|1350691200000
21990232624438|1347062400000
13194139604657|1308528000000
15393162803227|1340668800000
15393162803787|1322784000000
19791209319374|1323129600000
6597069783491|1324425600000
4398046541841|1341273600000
2199023275605|1354060800000
10995116327671|1337817600000
6597069820074|1322784000000
26388279077851|1335312000000
32985348904631|1324684800000
21990232565753|1328054400000
15393162816434|1338854400000
6597069804531|1346544000000
6597069836150|1344297600000
15393162803463|1320710400000
8796093062295|1354060800000
2199023323070|1344643200000
8796093090853|1345075200000
32985348872292|1333324800000
10995116281470|1354060800000
19292|1330646400000
8796093081448|1323216000000
17592186093106|1324598400000
15393162793853|1327363200000
10995116324311|1328140800000
6597069799083|1337385600000
6597069830945|1310169600000
8796093045836|1324771200000
6597069836893|1354060800000
12245|1354060800000
24189255846364|1324771200000
13194139602645|1324684800000
