personId|startDate|durationDays|countryXName|countryYName
27493|1298937600000|32|Papua_New_Guinea|Switzerland
28587302374257|1304208000000|47|Honduras|Hong_Kong
2199023290733|1304208000000|31|Norway|Azerbaijan
26388279068903|1298937600000|30|Singapore|Azerbaijan
17592186071510|1304208000000|32|Switzerland|Hong_Kong
13194139552524|1304208000000|29|Finland|Rwanda
17592186051575|1306886400000|29|Azerbaijan|Papua_New_Guinea
21990232563999|1298937600000|36|Estonia|Finland
10995116290411|1298937600000|36|Tajikistan|Papua_New_Guinea
24307|1298937600000|36|Hong_Kong|Finland
24189255841383|1298937600000|36|Rwanda|Azerbaijan
4398046542420|1298937600000|36|Switzerland|Rwanda
30786325612851|1298937600000|36|Norway|Estonia
2199023294702|1298937600000|36|Azerbaijan|Rwanda
10995116325480|1298937600000|36|Papua_New_Guinea|Switzerland
30786325637002|1298937600000|36|Tajikistan|Estonia
15393162850151|1306886400000|43|Papua_New_Guinea|Tajikistan
6597069836817|1298937600000|36|Tajikistan|Rwanda
13194139604019|1298937600000|36|Switzerland|Norway
32985348863232|1298937600000|63|Estonia|Finland
8796093038421|1325376000000|46|Azerbaijan|Rwanda
2199023288279|1306886400000|47|Honduras|Estonia
24189255825062|1306886400000|36|Finland|Tajikistan
10995116314563|1304208000000|45|Papua_New_Guinea|Singapore
15393162833685|1298937600000|55|Norway|Azerbaijan
4398046524394|1304208000000|28|Switzerland|Azerbaijan
13194139550407|1304208000000|28|Singapore|Honduras
21990232576165|1304208000000|28|Estonia|Rwanda
28587302350186|1304208000000|28|Rwanda|Switzerland
17592186079125|1304208000000|28|Singapore|Norway
8796093022665|1306886400000|28|Hong_Kong|Singapore
26388279068707|1306886400000|28|Norway|Azerbaijan
28587302324913|1306886400000|42|Estonia|Azerbaijan
4398046517181|1306886400000|28|Singapore|Papua_New_Guinea
17592186063109|1306886400000|28|Finland|Honduras
21990232576192|1306886400000|37|Papua_New_Guinea|Singapore
28587302348341|1306886400000|28|Hong_Kong|Honduras
30786325604702|1306886400000|28|Norway|Papua_New_Guinea
6597069795354|1306886400000|28|Finland|Rwanda
30786325627135|1306886400000|28|Singapore|Hong_Kong
15393162842466|1306886400000|52|Tajikistan|Estonia
17592186101421|1304208000000|40|Azerbaijan|Estonia
2199023317343|1306886400000|28|Azerbaijan|Estonia
8796093084423|1306886400000|28|Tajikistan|Honduras
32985348895529|1304208000000|71|Norway|Papua_New_Guinea
19791209371923|1306886400000|33|Papua_New_Guinea|Norway
32985348855690|1306886400000|29|Hong_Kong|Honduras
10995116328771|1304208000000|45|Singapore|Switzerland
15393162789077|1304208000000|32|Tajikistan|Switzerland
28587302325456|1304208000000|32|Rwanda|Finland
6597069783637|1304208000000|32|Azerbaijan|Singapore
10995116302212|1304208000000|32|Honduras|Norway
15393162814992|1304208000000|32|Hong_Kong|Azerbaijan
28587302367235|1304208000000|32|Azerbaijan|Finland
24189255881954|1304208000000|32|Norway|Azerbaijan
15393162857388|1304208000000|28|Norway|Singapore
2199023275575|1306886400000|32|Finland|Tajikistan
26388279134192|1298937600000|31|Honduras|Tajikistan
26388279091115|1306886400000|29|Hong_Kong|Norway
30786325594081|1306886400000|30|Estonia|Finland
15393162818610|1298937600000|28|Hong_Kong|Norway
30786325585096|1291161600000|32|Switzerland|Papua_New_Guinea
32985348843573|1291161600000|46|Rwanda|Hong_Kong
4398046530214|1291161600000|32|Honduras|Papua_New_Guinea
4398046531376|1291161600000|32|Estonia|Papua_New_Guinea
30786325610874|1291161600000|32|Norway|Switzerland
26388279100210|1291161600000|32|Papua_New_Guinea|Switzerland
24189255852852|1291161600000|32|Honduras|Azerbaijan
26388279110446|1291161600000|32|Norway|Azerbaijan
46510|1291161600000|32|Tajikistan|Estonia
21990232611339|1291161600000|32|Switzerland|Rwanda
60075|1291161600000|50|Finland|Azerbaijan
8796093082286|1291161600000|32|Azerbaijan|Honduras
32985348896626|1291161600000|32|Norway|Tajikistan
2199023321591|1291161600000|32|Estonia|Norway
32985348894609|1304208000000|31|Estonia|Honduras
30786325589150|1298937600000|30|Rwanda|Estonia
4398046534687|1298937600000|30|Finland|Switzerland
17592186077105|1298937600000|30|Hong_Kong|Azerbaijan
19791209340983|1304208000000|34|Rwanda|Honduras
8796093067622|1298937600000|30|Tajikistan|Singapore
30786325631284|1306886400000|59|Switzerland|Norway
13194139548418|1306886400000|31|Norway|Hong_Kong
10995116350620|1306886400000|53|Honduras|Hong_Kong
21990232621574|1291161600000|36|Hong_Kong|Tajikistan
10995116346015|1304208000000|36|Honduras|Tajikistan
2199023273939|1306886400000|34|Azerbaijan|Hong_Kong
4398046566882|1306886400000|43|Switzerland|Tajikistan
26388279133813|1306886400000|36|Papua_New_Guinea|Singapore
15393162823425|1291161600000|31|Norway|Hong_Kong
28587302361028|1306886400000|48|Hong_Kong|Norway
19791209301284|1298937600000|42|Finland|Hong_Kong
17592186072155|1291161600000|33|Rwanda|Norway
4398046523533|1306886400000|28|Hong_Kong|Azerbaijan
28587302348634|1306886400000|28|Honduras|Switzerland
24189255839829|1306886400000|28|Estonia|Honduras
19791209333442|1306886400000|28|Papua_New_Guinea|Rwanda
38469|1306886400000|28|Switzerland|Hong_Kong
4398046557729|1306886400000|28|Switzerland|Finland
24189255873354|1306886400000|28|Rwanda|Azerbaijan
30786325641432|1306886400000|28|Azerbaijan|Hong_Kong
17592186113014|1306886400000|47|Norway|Hong_Kong
19791209314873|1291161600000|33|Finland|Switzerland
21990232578980|1306886400000|48|Finland|Hong_Kong
10995116324023|1298937600000|54|Norway|Hong_Kong
30786325579831|1298937600000|29|Singapore|Finland
8796093048010|1298937600000|29|Hong_Kong|Norway
4398046543986|1298937600000|29|Rwanda|Singapore
19791209333417|1298937600000|29|Tajikistan|Finland
19791209333586|1298937600000|29|Papua_New_Guinea|Rwanda
50374|1298937600000|29|Hong_Kong|Azerbaijan
15393162851609|1306886400000|53|Finland|Norway
15393162857530|1298937600000|29|Hong_Kong|Norway
28587302330592|1306886400000|50|Honduras|Singapore
2199023257226|1298937600000|32|Honduras|Finland
21990232569008|1306886400000|28|Hong_Kong|Honduras
21990232568771|1306886400000|34|Singapore|Azerbaijan
8796093073867|1306886400000|46|Papua_New_Guinea|Norway
28587302382717|1306886400000|56|Finland|Rwanda
4398046515173|1298937600000|29|Rwanda|Switzerland
8796093043418|1298937600000|29|Hong_Kong|Singapore
17592186068610|1298937600000|29|Switzerland|Rwanda
24189255837426|1298937600000|29|Rwanda|Singapore
13194139575416|1298937600000|29|Tajikistan|Norway
21990232598100|1298937600000|29|Hong_Kong|Rwanda
26388279129773|1298937600000|29|Estonia|Papua_New_Guinea
2199023319182|1298937600000|29|Switzerland|Azerbaijan
8796093086356|1298937600000|29|Hong_Kong|Rwanda
19791209369667|1298937600000|29|Finland|Singapore
19791209371253|1298937600000|29|Rwanda|Honduras
15393162801011|1306886400000|36|Azerbaijan|Rwanda
4398046537733|1306886400000|36|Rwanda|Singapore
26388279102708|1306886400000|36|Finland|Rwanda
10995116314157|1306886400000|36|Switzerland|Papua_New_Guinea
24189255878946|1306886400000|36|Azerbaijan|Norway
8796093053786|1306886400000|31|Singapore|Azerbaijan
15393162813160|1304208000000|62|Honduras|Hong_Kong
10648|1304208000000|29|Azerbaijan|Honduras
10995116294454|1304208000000|29|Hong_Kong|Papua_New_Guinea
28587302359575|1304208000000|29|Singapore|Azerbaijan
28587302377561|1304208000000|29|Hong_Kong|Singapore
4398046550739|1291161600000|45|Tajikistan|Azerbaijan
24189255870476|1306886400000|68|Tajikistan|Finland
32985348834678|1298937600000|30|Switzerland|Norway
2199023309265|1306886400000|63|Rwanda|Singapore
15393162855875|1335830400000|58|Tajikistan|Papua_New_Guinea
10995116310086|1306886400000|84|Azerbaijan|Estonia
49960|1304208000000|38|Honduras|Hong_Kong
32985348850330|1306886400000|59|Azerbaijan|Papua_New_Guinea
28587302330681|1298937600000|30|Papua_New_Guinea|Norway
28587302324129|1304208000000|28|Hong_Kong|Azerbaijan
8796093027702|1304208000000|28|Singapore|Azerbaijan
26388279073319|1304208000000|28|Switzerland|Finland
6597069774872|1304208000000|28|Azerbaijan|Hong_Kong
28587302340061|1304208000000|28|Estonia|Norway
15393162807706|1304208000000|28|Azerbaijan|Singapore
30786325601001|1304208000000|28|Finland|Singapore
6597069797129|1304208000000|28|Azerbaijan|Finland
17592186075172|1304208000000|28|Hong_Kong|Papua_New_Guinea
28587302357605|1304208000000|28|Switzerland|Estonia
4398046551659|1304208000000|28|Finland|Honduras
8796093090621|1304208000000|28|Tajikistan|Estonia
26388279079295|1306886400000|28|Papua_New_Guinea|Estonia
13194139599162|1306886400000|33|Honduras|Azerbaijan
24189255833631|1306886400000|64|Singapore|Azerbaijan
24189255814865|1306886400000|31|Norway|Switzerland
2199023271135|1306886400000|31|Hong_Kong|Switzerland
17592186060455|1306886400000|31|Honduras|Azerbaijan
32985348850838|1306886400000|31|Honduras|Azerbaijan
13194139554484|1306886400000|31|Singapore|Rwanda
28954|1306886400000|31|Finland|Hong_Kong
13194139562521|1306886400000|31|Hong_Kong|Switzerland
10995116330311|1306886400000|52|Rwanda|Azerbaijan
19791209353348|1306886400000|31|Hong_Kong|Finland
4398046579267|1306886400000|31|Azerbaijan|Finland
17592186093283|1298937600000|30|Papua_New_Guinea|Rwanda
15393162808843|1298937600000|52|Papua_New_Guinea|Finland
26388279085772|1306886400000|38|Azerbaijan|Estonia
6597069788923|1304208000000|59|Hong_Kong|Papua_New_Guinea
17592186056793|1325376000000|29|Norway|Finland
6597069805711|1306886400000|29|Rwanda|Switzerland
10995116296111|1298937600000|59|Azerbaijan|Switzerland
19791209348212|1298937600000|28|Azerbaijan|Norway
10995116314969|1306886400000|65|Azerbaijan|Norway
19791209347920|1325376000000|37|Papua_New_Guinea|Singapore
32985348874353|1306886400000|30|Honduras|Singapore
8796093058634|1304208000000|61|Rwanda|Singapore
26388279128833|1304208000000|33|Norway|Hong_Kong
32985348844514|1298937600000|32|Papua_New_Guinea|Finland
6597069798788|1306886400000|79|Singapore|Tajikistan
24189255831888|1306886400000|45|Estonia|Azerbaijan
4398046516514|1298937600000|33|Norway|Finland
24189255813562|1291161600000|31|Norway|Estonia
24189255844998|1304208000000|40|Singapore|Hong_Kong
4398046514155|1306886400000|52|Finland|Azerbaijan
24189255817018|1304208000000|31|Tajikistan|Singapore
26388279114773|1325376000000|54|Singapore|Switzerland
30786325583336|1298937600000|28|Hong_Kong|Singapore
21990232565287|1298937600000|28|Rwanda|Tajikistan
30786325599360|1298937600000|50|Hong_Kong|Azerbaijan
2199023282576|1298937600000|28|Papua_New_Guinea|Hong_Kong
4398046547421|1298937600000|28|Singapore|Azerbaijan
10995116316669|1298937600000|28|Rwanda|Switzerland
21990232621250|1298937600000|46|Hong_Kong|Tajikistan
28587302359367|1306886400000|53|Honduras|Switzerland
24189255811234|1304208000000|28|Switzerland|Papua_New_Guinea
24189255822227|1306886400000|48|Switzerland|Estonia
32985348886901|1298937600000|34|Tajikistan|Papua_New_Guinea
19791209338783|1298937600000|41|Papua_New_Guinea|Norway
29060|1304208000000|44|Singapore|Hong_Kong
15393162794900|1306886400000|29|Tajikistan|Azerbaijan
21990232562467|1306886400000|29|Hong_Kong|Papua_New_Guinea
26388279081063|1306886400000|29|Papua_New_Guinea|Tajikistan
26388279081402|1306886400000|29|Azerbaijan|Tajikistan
28587302338814|1306886400000|29|Estonia|Hong_Kong
26388279095918|1306886400000|29|Hong_Kong|Rwanda
17592186097230|1306886400000|29|Switzerland|Hong_Kong
19791209355662|1306886400000|29|Rwanda|Hong_Kong
32985348892534|1306886400000|29|Norway|Singapore
4398046570599|1306886400000|29|Honduras|Azerbaijan
13194139571784|1291161600000|30|Honduras|Norway
15393162791859|1306886400000|31|Azerbaijan|Rwanda
8796093037863|1306886400000|40|Honduras|Norway
19791209318529|1306886400000|31|Norway|Hong_Kong
19791209344004|1306886400000|31|Norway|Switzerland
10995116346517|1306886400000|31|Papua_New_Guinea|Finland
17592186116354|1306886400000|41|Rwanda|Switzerland
28587302381794|1306886400000|30|Singapore|Estonia
30786325581563|1306886400000|30|Rwanda|Papua_New_Guinea
19791209314871|1306886400000|30|Estonia|Azerbaijan
32985348850211|1306886400000|30|Norway|Rwanda
15393162812518|1306886400000|30|Rwanda|Papua_New_Guinea
19791209325691|1306886400000|30|Papua_New_Guinea|Singapore
21990232595363|1306886400000|30|Rwanda|Hong_Kong
2199023310428|1306886400000|30|Papua_New_Guinea|Hong_Kong
57550|1306886400000|39|Norway|Azerbaijan
10995116336513|1306886400000|30|Azerbaijan|Tajikistan
13194139601343|1306886400000|30|Papua_New_Guinea|Norway
6597069838304|1298937600000|39|Tajikistan|Honduras
2199023256264|1291161600000|29|Papua_New_Guinea|Switzerland
13194139548998|1291161600000|29|Tajikistan|Honduras
13194139561327|1291161600000|29|Papua_New_Guinea|Switzerland
32985348862492|1291161600000|29|Finland|Hong_Kong
26388279097748|1291161600000|29|Norway|Papua_New_Guinea
17592186079313|1291161600000|29|Singapore|Finland
10995116313304|1291161600000|29|Finland|Hong_Kong
10995116317890|1291161600000|29|Switzerland|Papua_New_Guinea
6597069809954|1291161600000|29|Switzerland|Finland
47978|1291161600000|29|Estonia|Papua_New_Guinea
8796093072964|1306886400000|53|Norway|Papua_New_Guinea
65883|1291161600000|29|Honduras|Estonia
13194139602925|1291161600000|29|Estonia|Azerbaijan
6597069835647|1306886400000|29|Singapore|Norway
30786325619514|1291161600000|28|Rwanda|Switzerland
21990232587182|1291161600000|32|Switzerland|Azerbaijan
19791209367722|1325376000000|42|Finland|Norway
15393162852357|1306886400000|28|Papua_New_Guinea|Tajikistan
4398046570195|1298937600000|29|Papua_New_Guinea|Estonia
24189255883083|1304208000000|44|Honduras|Hong_Kong
30786325595713|1306886400000|28|Azerbaijan|Hong_Kong
13194139536201|1306886400000|35|Estonia|Norway
21990232561503|1306886400000|35|Rwanda|Honduras
24189255819092|1306886400000|35|Switzerland|Papua_New_Guinea
15393162813786|1306886400000|35|Estonia|Norway
32985348859610|1306886400000|35|Singapore|Honduras
28826|1306886400000|35|Papua_New_Guinea|Finland
4398046550217|1306886400000|35|Switzerland|Hong_Kong
17592186100062|1306886400000|35|Estonia|Switzerland
13194139597202|1306886400000|70|Tajikistan|Hong_Kong
24189255865968|1304208000000|129|Rwanda|Switzerland
30786325581562|1298937600000|34|Hong_Kong|Azerbaijan
17592186054288|1306886400000|51|Azerbaijan|Tajikistan
28587302322760|1304208000000|29|Azerbaijan|Switzerland
15393162798846|1304208000000|29|Finland|Estonia
8796093032227|1304208000000|29|Finland|Hong_Kong
10995116291710|1304208000000|29|Estonia|Finland
13194139548145|1304208000000|29|Azerbaijan|Honduras
15393162809421|1304208000000|29|Hong_Kong|Norway
23487|1306886400000|37|Switzerland|Norway
30786325602740|1304208000000|29|Finland|Rwanda
13194139559152|1304208000000|29|Hong_Kong|Azerbaijan
35184372117590|1304208000000|29|Estonia|Finland
29632|1304208000000|29|Finland|Estonia
17592186076217|1304208000000|29|Azerbaijan|Norway
34892|1304208000000|29|Tajikistan|Azerbaijan
15393162825527|1304208000000|29|Azerbaijan|Honduras
15393162819720|1325376000000|29|Norway|Switzerland
24189255850312|1298937600000|32|Singapore|Papua_New_Guinea
30786325617392|1325376000000|28|Azerbaijan|Norway
17592186114525|1306886400000|31|Papua_New_Guinea|Finland
15393162836536|1306886400000|34|Finland|Singapore
15393162819366|1298937600000|33|Hong_Kong|Honduras
8796093041082|1306886400000|28|Norway|Rwanda
30786325631783|1298937600000|29|Switzerland|Rwanda
13194139541651|1291161600000|32|Estonia|Hong_Kong
21176|1291161600000|32|Rwanda|Norway
32985348863856|1291161600000|32|Estonia|Azerbaijan
17592186076237|1291161600000|32|Azerbaijan|Papua_New_Guinea
30786325614479|1291161600000|32|Switzerland|Rwanda
8796093060610|1291161600000|32|Switzerland|Finland
26388279126315|1306886400000|51|Estonia|Hong_Kong
13194139598143|1291161600000|28|Singapore|Finland
10995116342997|1291161600000|32|Tajikistan|Norway
24189255877380|1291161600000|32|Papua_New_Guinea|Honduras
15393162800927|1306886400000|82|Tajikistan|Azerbaijan
21990232625424|1304208000000|30|Tajikistan|Norway
6597069776624|1298937600000|29|Singapore|Papua_New_Guinea
4398046549833|1298937600000|29|Papua_New_Guinea|Norway
19791209340286|1306886400000|33|Singapore|Azerbaijan
24189255852354|1298937600000|29|Azerbaijan|Singapore
