personId|month
6597069812321|10
8796093047542|12
19791209314115|3
8796093045836|5
28587302373011|10
17592186062450|9
6597069815298|5
10995116349392|12
30786325643861|1
24189255811776|3
24189255855296|2
17592186098863|5
28587302340029|12
15393162815025|12
17592186057426|10
26388279073751|6
10995116345809|12
2199023313860|4
15393162808708|7
19791209356948|9
26388279124125|5
8796093065166|9
10995116323767|11
28587302364119|5
6597069809706|10
21990232578613|1
24189255818088|11
15393162837654|6
32985348879378|5
32985348882167|12
24189255826239|2
32985348897526|7
19292|12
28587302333789|5
2199023258902|4
21990232592445|6
23598|8
17592186068321|4
19791209335403|12
4398046566584|11
24189255859116|10
8796093032246|7
8796093089006|6
19791209304304|3
8796093088741|5
4398046561936|6
24189255839282|4
8796093055516|7
24189255862212|1
30786325580460|10
2199023302385|10
24189255857014|10
13194139558922|2
24189255865845|4
32985348857209|3
19791209357921|7
8796093049952|12
13194139580446|5
32985348852787|11
2199023294188|1
24189255840260|9
15393162820545|5
28587302379716|5
2199023291155|8
4398046571387|11
8796093075150|12
26388279128402|5
6597069837829|7
30786325599523|6
13194139556147|1
21990232608090|7
28587302381136|9
2199023268726|12
21990232608178|3
28587302345584|7
19791209352525|10
2199023306462|3
19791209306502|4
26388279115610|6
32985348872292|9
15393162840347|11
19791209341201|4
19791209319374|8
10995116309631|12
21990232605498|12
19791209332309|10
30786325637062|5
24189255823671|9
30786325608565|6
21990232603912|7
30786325648338|5
13194139602645|12
26388279115638|10
4398046522873|7
32985348904631|1
59757|4
36427|11
24189255835043|2
8796093061997|11
26388279096887|6
4398046555174|2
6597069796940|6
26388279096205|10
24189255819527|1
26388279069203|6
19791209354631|9
8796093093498|6
21990232625310|4
21990232582284|8
6597069824791|7
13194139603737|2
26388279077714|11
4398046554053|11
19791209345555|7
13194139586146|12
19138|8
17592186053621|1
17768|12
54898|8
30786325642329|2
24189255870238|1
32985348888734|10
19450|5
21990232609154|2
24189255868578|9
23148|7
21990232568885|10
26388279079964|8
19791209369128|6
4398046563711|4
34075|12
18790|12
4398046567279|1
30786325645219|12
14383|10
32985348860728|4
28587302363802|10
15393162806389|8
32985348884083|8
15393162843653|11
4398046555090|4
4398046527156|10
23214|7
32985348863883|5
15393162813753|12
17592186093608|1
15393162842151|8
4398046512486|11
8796093043305|1
26388279081263|11
27788|7
15393162856124|7
28587302327745|4
10995116294307|10
38782|2
8796093024620|6
32985348882736|5
30786325621301|7
21990232565190|3
24189255850183|7
24189255868785|1
15393162859647|8
19791209361861|8
24189255821585|2
21990232627818|4
19791209365873|6
6597069769095|11
3716|12
17592186045229|8
10995116342274|10
32985348899361|5
21990232585085|11
6597069820074|12
26388279090267|12
8796093023577|8
26388279106599|2
10995116281470|3
32985348840473|3
26388279126249|8
21990232602252|5
32985348860538|6
2199023292491|10
69995|2
2199023293678|1
17592186066681|3
2199023279222|8
13194139577378|3
32985348865015|12
21990232604834|7
24189255864707|7
21990232577588|7
21990232557886|1
8796093081448|8
32768|8
24189255828588|9
10995116307039|5
4398046557502|11
4398046548869|6
26388279086110|10
21990232594931|1
6597069796584|7
24189255827480|12
66218|3
15393162794868|1
24189255855817|1
19791209300504|5
32985348867288|10
19791209358937|3
10995116291002|8
17592186077945|10
13194139605745|3
10995116335468|11
28587302322524|8
19791209345540|5
15393162803227|5
10995116335839|3
37019|11
13194139547249|10
51200|3
2199023265924|1
8796093062413|2
26388279076963|5
17592186075955|5
30786325587701|12
34453|10
30786325616485|3
19791209306662|11
6597069777797|12
10995116342765|12
17592186045891|6
30786325580763|8
4398046565463|11
32985348896834|3
4398046522337|12
13194139601064|4
6597069817490|5
8796093033621|3
26388279127298|9
2199023294254|9
26388279069885|3
32985348860977|3
17592186093106|12
32985348844875|10
10995116347981|4
21990232619336|10
26388279084310|9
21990232558091|6
18503|12
26388279073552|9
8796093062073|4
32985348882554|11
30786325618377|5
32985348859366|10
26388279100590|6
24189255875070|5
15393162801775|3
6597069799083|7
13194139564117|7
17592186048504|4
15393162803787|3
19791209351432|7
15393162802835|6
4398046546798|7
32985348896275|10
6597069769317|12
21990232598312|7
28587302387421|8
13194139605351|2
26388279098708|3
15393162816434|5
26388279129617|7
17592186089960|3
21990232568406|7
24189255860745|9
26388279068083|9
30786325615283|11
17592186077973|8
6597069819439|10
13194139546393|8
15393162794266|2
24189255838795|8
30786325601976|9
17592186104368|4
19791209304149|10
66541|5
8796093072902|11
2199023309554|11
24189255876258|6
13194139567431|10
10995116312683|3
28587302324426|3
28587302362514|11
21990232601628|2
2199023288416|9
21990232584644|9
19791209322451|6
19791209353762|4
21990232624438|1
15393162860826|5
15393162854718|5
25906|6
30786325622406|3
28587302347185|4
30786325644282|3
30786325593358|2
8796093036783|5
13194139592156|11
13194139568098|11
2199023320880|7
26388279099992|9
6597069835955|8
19791209357612|7
28587302344309|6
17592186097269|9
19791209308413|5
67297|4
21990232609744|3
28587302390708|5
21990232556962|9
13265|1
28587302369664|10
21990232627555|10
21990232601349|9
28587302327653|8
13194139587450|2
17592186102486|5
17592186107242|2
19791209346631|7
2199023308465|6
24189255811573|5
19791209334913|12
4398046546759|6
26388279133875|11
10995116309140|4
10995116346254|3
19791209314537|5
19791209371144|5
32985348848685|7
6597069836150|2
32985348857577|8
32985348849109|12
32985348875976|2
28587302340470|10
4398046511396|5
16093|2
28587302361152|10
2199023283682|12
10995116295729|9
13194139587284|10
10995116335478|11
8796093074054|10
33248|6
4398046550500|6
17592186084939|1
21990232612599|10
17592186098113|11
15393162861665|12
26388279090450|12
13194139556755|6
6597069782135|10
19791209306466|5
19791209336821|11
13194139557312|3
10995116287916|1
26388279087276|3
30786325620223|4
17592186099391|3
28587302325292|6
17592186063644|9
10995116324955|7
2199023264234|11
19791209305166|2
21990232601917|1
21990232556381|4
13194139535979|9
67832|3
15393162818363|1
21990232558484|4
6597069805819|11
2199023319558|4
30786325633405|3
10995116350707|4
8796093037034|7
26388279135127|10
21990232568070|9
8796093070301|11
21990232607032|6
4398046530937|3
4398046547646|3
30786325640340|1
8796093075849|8
13194139573152|4
30786325625611|5
26388279130510|5
15393162849736|1
26388279131087|5
2199023281346|2
21990232584379|2
4398046534603|11
30786325580508|3
6597069795249|9
10995116286055|6
30786325618309|5
4398046537860|12
2199023302622|7
4398046537050|12
4398046574785|3
8796093079042|7
28587302353572|3
57727|10
15393162791498|1
10995116302309|3
19791209350689|12
10995116333561|7
28587302346378|6
14286|5
30786325595417|12
4398046542762|12
13194139543769|6
30786325624744|6
6597069836893|2
21990232622158|6
28587302333339|3
8796093027624|7
26388279103636|5
8796093092911|11
2199023274018|9
6597069776523|10
26388279134365|9
4398046565033|3
32985348846032|6
17592186068864|5
17592186077569|6
30786325607466|1
10995116306008|11
32985348838900|12
69759|12
13194139583634|2
32985348857036|1
6597069790400|6
15393162846147|11
8796093030309|8
24189255863060|8
26388279104814|1
21990232569656|1
32985348851386|12
4398046531336|6
6597069823444|6
15393162834773|6
30786325590042|6
2199023302074|5
17592186055974|2
15393162819949|4
6597069836120|3
68092|2
10995116331197|6
4398046533347|8
15393162841080|11
