personId|tagClassName
32985348864506|SportsTeamMember
30786325625611|MemberOfParliament
8796093037034|MartialArtist
35635|SnookerChamp
17592186089960|Congressman
2199023263826|MartialArtist
2199023306462|Congressman
24189255828588|MartialArtist
19791209345555|SportsTeamMember
26388279107154|Congressman
30786325609836|SnookerChamp
21990232588188|MemberOfParliament
26388279103382|MartialArtist
15393162803125|MartialArtist
15393162835849|MemberOfParliament
19791209304304|SnookerChamp
10995116324955|Congressman
32985348897526|SportsTeamMember
4398046533347|Congressman
8796093036783|Congressman
2199023290216|Congressman
10995116294307|MartialArtist
30786325601094|SnookerChamp
19791209300504|MartialArtist
17592186085380|MemberOfParliament
28587302335530|SportsTeamMember
24189255816104|MemberOfParliament
19791209321281|MartialArtist
26388279106720|MemberOfParliament
30786325642329|MemberOfParliament
26388279133875|SnookerChamp
21990232584778|MemberOfParliament
30786325589993|Congressman
21990232601628|SportsTeamMember
10995116318777|MemberOfParliament
17592186068321|MartialArtist
10995116347981|MemberOfParliament
2199023299311|Congressman
15393162791498|MartialArtist
21990232619336|SportsTeamMember
24189255863060|MemberOfParliament
4398046511396|SnookerChamp
30786325595951|MemberOfParliament
19791209304132|MemberOfParliament
8796093079715|MemberOfParliament
15393162815025|SportsTeamMember
21990232592492|SnookerChamp
6597069778143|MemberOfParliament
21990232618792|MemberOfParliament
2199023305354|SportsTeamMember
2199023293678|MartialArtist
13194139587450|SnookerChamp
17592186056797|Congressman
4398046542762|Congressman
21990232556962|SportsTeamMember
6597069828978|MartialArtist
19791209357612|MartialArtist
30786325595417|MartialArtist
8796093032246|MartialArtist
26388279136905|Congressman
19791209350939|MartialArtist
66218|MartialArtist
4398046567279|Congressman
21990232588197|MartialArtist
35184372142408|SportsTeamMember
17592186084939|SnookerChamp
19791209346631|Congressman
18836|SnookerChamp
4398046550500|SportsTeamMember
15393162813753|Congressman
24189255821585|SportsTeamMember
26388279124125|Congressman
13194139603737|SportsTeamMember
21990232568406|Congressman
28587302388954|SportsTeamMember
30786325599523|SportsTeamMember
15393162843653|MemberOfParliament
21990232558884|MartialArtist
10995116335468|SnookerChamp
21990232628410|MartialArtist
24189255811776|SportsTeamMember
15393162846123|Congressman
26388279090450|Congressman
21990232606458|MemberOfParliament
19791209357921|SportsTeamMember
30786325605171|MartialArtist
4398046550001|Congressman
19791209344354|Congressman
3716|SportsTeamMember
