personId|countryName|workFromYear
6597069812321|Papua_New_Guinea|2011
8796093047542|Honduras|2007
19791209314115|Norway|2013
8796093045836|Singapore|2000
28587302373011|Switzerland|2012
17592186062450|Finland|2014
6597069815298|Azerbaijan|2014
10995116349392|Estonia|2003
30786325643861|Tajikistan|1999
24189255811776|Hong_Kong|2010
24189255855296|Rwanda|2005
17592186098863|Norway|2008
28587302340029|Rwanda|1999
15393162815025|Singapore|2014
17592186057426|Honduras|2004
26388279073751|Rwanda|2014
10995116345809|Azerbaijan|1998
2199023313860|Singapore|2002
15393162808708|Azerbaijan|2005
19791209356948|Switzerland|2004
26388279124125|Finland|2001
8796093065166|Azerbaijan|2014
10995116323767|Honduras|2007
28587302364119|Azerbaijan|2013
21990232578613|Rwanda|2006
6597069809706|Azerbaijan|2011
24189255818088|Tajikistan|2008
15393162837654|Singapore|2000
32985348879378|Honduras|2009
32985348882167|Papua_New_Guinea|2010
24189255826239|Rwanda|2010
32985348897526|Honduras|2006
19292|Switzerland|1998
28587302333789|Estonia|2012
2199023258902|Tajikistan|2014
21990232592445|Azerbaijan|1999
23598|Switzerland|1998
17592186068321|Tajikistan|2005
19791209335403|Switzerland|2010
4398046566584|Hong_Kong|2005
24189255859116|Papua_New_Guinea|2011
8796093032246|Estonia|2012
8796093089006|Honduras|2008
19791209304304|Switzerland|2008
8796093088741|Switzerland|2008
4398046561936|Norway|2004
24189255839282|Switzerland|2001
8796093055516|Hong_Kong|2013
24189255862212|Papua_New_Guinea|2002
30786325580460|Norway|2012
2199023302385|Rwanda|2006
24189255857014|Switzerland|2010
13194139558922|Switzerland|2011
24189255865845|Rwanda|2013
32985348857209|Tajikistan|2012
19791209357921|Honduras|2003
8796093049952|Azerbaijan|2012
13194139580446|Honduras|2012
32985348852787|Tajikistan|2008
2199023294188|Azerbaijan|2001
24189255840260|Tajikistan|2014
15393162820545|Papua_New_Guinea|2011
28587302379716|Rwanda|2004
2199023291155|Norway|2003
4398046571387|Hong_Kong|2011
8796093075150|Switzerland|2009
26388279128402|Hong_Kong|2004
6597069837829|Honduras|2013
30786325599523|Papua_New_Guinea|2014
13194139556147|Finland|2009
21990232608090|Rwanda|2012
28587302381136|Finland|2008
2199023268726|Finland|2003
21990232608178|Honduras|2011
28587302345584|Finland|2009
19791209352525|Switzerland|2012
2199023306462|Hong_Kong|2003
19791209306502|Tajikistan|2013
26388279115610|Finland|2009
32985348872292|Honduras|2010
15393162840347|Honduras|2012
19791209341201|Rwanda|2005
19791209319374|Azerbaijan|2012
10995116309631|Norway|2013
21990232605498|Tajikistan|2014
19791209332309|Norway|2008
30786325637062|Switzerland|1999
24189255823671|Hong_Kong|2002
30786325608565|Honduras|2001
21990232603912|Honduras|2000
30786325648338|Papua_New_Guinea|2004
13194139602645|Honduras|2007
26388279115638|Switzerland|2014
4398046522873|Singapore|1999
32985348904631|Singapore|2014
59757|Papua_New_Guinea|2007
36427|Finland|2011
24189255835043|Switzerland|2012
8796093061997|Tajikistan|2004
26388279096887|Singapore|2009
4398046555174|Azerbaijan|2010
6597069796940|Singapore|2003
26388279096205|Tajikistan|2013
24189255819527|Honduras|2012
26388279069203|Finland|1998
19791209354631|Switzerland|2012
8796093093498|Finland|2004
21990232625310|Finland|2014
21990232582284|Finland|1998
6597069824791|Singapore|2012
13194139603737|Hong_Kong|2006
26388279077714|Rwanda|2002
19791209345555|Azerbaijan|2006
4398046554053|Azerbaijan|2012
13194139586146|Estonia|2005
19138|Singapore|2005
17592186053621|Azerbaijan|2013
17768|Finland|2012
54898|Finland|2001
30786325642329|Switzerland|2006
24189255870238|Finland|2004
32985348888734|Norway|2001
19450|Norway|2001
24189255868578|Norway|1999
21990232609154|Azerbaijan|2000
21990232568885|Norway|2005
23148|Tajikistan|2002
