person1Id|person2Id
32985348886934|15393162803709
28587302374257|17592186097230
2199023290733|24189255829036
26388279068903|19791209335124
17592186071510|8796093026718
17592186051575|8796093022665
13194139552524|30786325638524
21990232563999|19791209321935
10995116290411|29060
24307|6597069835647
24189255841383|15393162810891
4398046542420|28587302361625
30786325612851|24189255819092
2199023294702|13194139551742
10995116325480|70794
30786325637002|24189255873354
15393162850151|17592186092080
6597069836817|24307
13194139604019|19791209333442
8796093038421|10995116349601
32985348863232|30786325604702
2199023288279|47978
4398046524394|10995116346015
24189255825062|24189255877380
13194139550407|13194139582787
21990232576165|4398046541190
28587302350186|24189255825062
17592186079125|30786325627135
10995116314563|13194139582787
15393162833685|10995116314563
8796093022665|6597069788923
26388279068707|4398046534687
28587302324913|30786325585096
4398046517181|13194139604019
17592186063109|56650
21990232576192|19791209370624
28587302348341|24189255840754
30786325604702|24189255822856
6597069795354|26388279115887
30786325627135|21990232587182
15393162842466|19791209346742
17592186101421|30786325580251
2199023317343|8796093082253
8796093084423|17592186075172
32985348895529|30786325627135
19791209371923|21990232619971
32985348855690|28587302392390
15393162789077|15393162812518
28587302325456|13194139606195
6597069783637|24189255858307
10995116302212|15393162840722
15393162814992|30786325627135
28587302367235|21990232595363
10995116328771|30786325581562
24189255881954|15393162801011
15393162857388|13194139551742
2199023275575|30786325602740
26388279134192|26388279115887
26388279091115|15393162803709
30786325585096|26388279136122
32985348843573|4398046543598
30786325594081|21990232628343
4398046530214|2199023271135
4398046531376|2199023282263
15393162818610|24189255873354
30786325610874|28587302361625
26388279100210|32985348904523
24189255852852|2199023304286
26388279110446|17592186063109
46510|30786325585096
21990232611339|10995116303753
60075|19791209340286
8796093082286|32985348862492
32985348896626|19791209358236
2199023321591|28587302350186
32985348894609|30786325597193
30786325589150|17592186114525
4398046534687|21990232621574
17592186077105|24189255883083
19791209340983|24189255816700
8796093067622|24189255834589
30786325631284|15393162850151
13194139548418|24189255874389
10995116350620|30786325585096
21990232621574|13194139601605
10995116346015|2199023275575
