personId|startDate|durationDays
15393162822759|1304208000000|42
15393162809497|1298937600000|38
13194139563356|1351728000000|31
4398046533267|1325376000000|37
10995116284233|1298937600000|28
10995116311232|1304208000000|29
6597069836325|1301616000000|30
6597069812513|1301616000000|38
24189255826663|1280620800000|32
8796093077241|1328054400000|34
32985348849413|1309478400000|29
15393162811049|1333238400000|38
21990232590286|1298937600000|39
13194139563461|1333238400000|39
19791209345732|1325376000000|28
2199023320566|1325376000000|30
32985348881920|1296518400000|28
6597069801238|1335830400000|28
19791209301977|1306886400000|33
15393162859925|1335830400000|36
13194139554657|1346457600000|31
28587302373236|1283299200000|31
13194139590746|1304208000000|43
17592186055764|1296518400000|29
8796093039937|1293840000000|31
32985348899549|1328054400000|30
24189255882150|1285891200000|41
2199023280392|1309478400000|28
44366|1304208000000|30
21990232555692|1320105600000|32
30786325636731|1293840000000|34
30786325629003|1298937600000|28
19791209363543|1301616000000|30
13194139603117|1312156800000|38
28587302326076|1304208000000|41
17592186112747|1306886400000|30
30786325648915|1293840000000|32
15393162808511|1314835200000|31
24189255853192|1304208000000|29
32985348886441|1335830400000|31
30786325639005|1296518400000|40
28587302387005|1325376000000|32
30786325577834|1306886400000|41
4398046543200|1328054400000|32
19791209323379|1296518400000|31
60129|1301616000000|37
28587302379437|1306886400000|29
6597069769791|1312156800000|36
10995116291597|1320105600000|37
6568|1298937600000|44
4398046556541|1304208000000|28
15393162835365|1351728000000|36
8796093035626|1298937600000|28
6597069807368|1285891200000|32
6597069772289|1349049600000|30
6597069829249|1306886400000|35
30786325580284|1296518400000|32
30786325643485|1335830400000|36
4398046531105|1285891200000|28
6597069791066|1280620800000|28
32985348889505|1335830400000|33
17592186093050|1304208000000|47
26388279071594|1320105600000|36
4398046554076|1335830400000|28
6597069771147|1317427200000|40
19791209352525|1306886400000|31
19791209336889|1349049600000|29
19791209369710|1291161600000|33
60794|1309478400000|32
72270|1314835200000|33
2199023294898|1298937600000|33
13194139606038|1312156800000|33
30786325626443|1325376000000|36
21990232627555|1346457600000|35
15393162826888|1288569600000|29
26388279115147|1335830400000|34
30786325641445|1320105600000|36
17592186066895|1283299200000|29
2199023309554|1304208000000|35
30786325579940|1291161600000|30
26388279129427|1325376000000|56
6597069820007|1296518400000|31
10995116294844|1285891200000|45
8796093022975|1298937600000|29
15393162821673|1312156800000|44
17592186093879|1320105600000|30
6597069808671|1312156800000|46
4398046545377|1335830400000|29
10995116287014|1293840000000|34
13194139571375|1304208000000|38
8796093035255|1298937600000|29
13194139543455|1312156800000|32
8796093035159|1325376000000|30
32985348834064|1351728000000|43
24189255847453|1293840000000|35
24189255878152|1325376000000|29
30786325617310|1291161600000|34
21990232588432|1346457600000|33
15393162824752|1301616000000|30
30786325643229|1304208000000|38
13194139536358|1335830400000|43
26388279096861|1314835200000|45
26388279069410|1296518400000|36
32985348858454|1298937600000|37
32892|1325376000000|33
32985348863875|1320105600000|54
8796093091853|1306886400000|39
24189255868912|1320105600000|37
10995116325171|1325376000000|39
28587302324427|1293840000000|29
15393162796355|1298937600000|36
6597069822769|1325376000000|30
21990232612458|1333238400000|29
19791209347853|1298937600000|32
13194139597814|1317427200000|37
19035|1320105600000|28
2199023296654|1328054400000|28
19791209350835|1304208000000|41
13194139591038|1335830400000|30
10995116341810|1304208000000|41
24189255872721|1325376000000|34
4398046522162|1328054400000|29
2199023293950|1317427200000|50
21990232608266|1328054400000|43
6597069808165|1349049600000|30
62031|1301616000000|32
32985348892036|1280620800000|39
4398046546791|1312156800000|32
32985348857577|1306886400000|29
66411|1301616000000|43
15393162802195|1328054400000|35
4398046538811|1296518400000|30
2199023299486|1325376000000|29
19791209328358|1298937600000|32
19791209317866|1291161600000|29
2199023286036|1283299200000|31
26388279083003|1285891200000|29
10995116314233|1301616000000|31
32985348838187|1301616000000|40
26388279130718|1280620800000|28
21990232614466|1312156800000|43
21990232627818|1301616000000|29
26388279134690|1325376000000|28
6597069834379|1320105600000|40
30786325608545|1293840000000|39
8796093074859|1320105600000|30
8796093081463|1306886400000|28
24189255811211|1328054400000|32
24189255861406|1317427200000|39
21990232567444|1301616000000|31
26388279104620|1280620800000|30
28587302393055|1320105600000|34
15393162810622|1298937600000|28
17592186091622|1304208000000|36
21990232560872|1325376000000|30
30786325621747|1351728000000|38
8796093025593|1291161600000|33
6597069796566|1280620800000|32
62337|1293840000000|31
21990232588020|1306886400000|30
6597069827860|1304208000000|32
26388279088358|1304208000000|43
21990232569855|1328054400000|29
26388279108354|1293840000000|40
15393162797174|1312156800000|50
6597069803300|1293840000000|34
21990232592733|1306886400000|35
10995116338260|1285891200000|31
10995116337199|1301616000000|31
2199023302907|1293840000000|33
17592186097572|1301616000000|32
32985348854184|1291161600000|28
13194139536094|1304208000000|29
24189255815047|1351728000000|28
15393162795673|1280620800000|28
21990232626783|1328054400000|36
21990232602252|1309478400000|34
30786325634827|1291161600000|29
2199023322114|1291161600000|29
19791209301312|1298937600000|29
6597069773595|1298937600000|36
28587302331209|1296518400000|41
13194139597909|1298937600000|29
10995116308971|1325376000000|28
13194139575636|1293840000000|31
26388279106057|1298937600000|31
6597069810004|1301616000000|32
10995116287361|1285891200000|29
10995116337638|1298937600000|32
24189255828486|1298937600000|30
24189255880750|1314835200000|30
17592186058226|1296518400000|42
6597069779073|1325376000000|35
10995116315816|1312156800000|29
17592186068224|1335830400000|33
13194139547352|1335830400000|28
26388279091992|1301616000000|30
20761|1296518400000|35
28587302360109|1298937600000|29
6597069825491|1328054400000|33
13437|1349049600000|32
32985348856273|1306886400000|33
10995116333513|1301616000000|34
21990232568885|1283299200000|28
15393162800263|1325376000000|33
28587302393551|1328054400000|41
17592186074099|1296518400000|38
17592186059468|1277942400000|37
24189255880727|1349049600000|42
35410|1325376000000|33
28587302375291|1335830400000|30
24189255851885|1325376000000|28
30786325635070|1301616000000|31
2199023307755|1320105600000|44
6597069803695|1309478400000|68
4398046537050|1304208000000|29
19791209371944|1283299200000|29
23042|1304208000000|37
4398046548114|1328054400000|29
8796093040784|1304208000000|37
28587302365296|1309478400000|34
31857|1349049600000|31
2199023269948|1306886400000|31
17592186111867|1301616000000|36
17592186102302|1304208000000|39
2199023297043|1304208000000|31
30786325640995|1270080000000|45
6597069784018|1349049600000|28
19791209347764|1335830400000|49
8403|1306886400000|37
2199023260618|1304208000000|30
24189255862212|1328054400000|38
43456|1283299200000|43
8796093043917|1301616000000|50
21990232612599|1285891200000|30
8796093092782|1317427200000|44
24189255831532|1325376000000|34
13194139586081|1280620800000|29
6597069805412|1285891200000|33
13194139583241|1312156800000|80
471|1320105600000|45
10995116349392|1312156800000|28
8796093060957|1312156800000|52
28587302350955|1309478400000|44
19791209333933|1335830400000|31
4398046523075|1328054400000|33
24189255828744|1325376000000|32
30786325639290|1333238400000|41
10995116334472|1306886400000|32
15393162822510|1312156800000|29
19791209325919|1306886400000|34
13194139570353|1298937600000|30
28587302363836|1288569600000|29
51052|1320105600000|37
15393162836504|1335830400000|34
56286|1328054400000|32
32985348883526|1312156800000|34
6597069826586|1291161600000|28
15393162806775|1335830400000|30
21990232561838|1301616000000|30
8796093091300|1301616000000|30
28587302339256|1335830400000|34
3730|1320105600000|29
28587302335843|1335830400000|35
32985348869251|1296518400000|29
24189255836557|1296518400000|30
32985348846725|1293840000000|31
28587302322524|1306886400000|40
21990232560925|1298937600000|34
8796093088702|1301616000000|28
30786325613565|1325376000000|39
4398046562135|1293840000000|38
17592186062650|1325376000000|32
17592186076206|1306886400000|31
15393162838698|1335830400000|38
6597069783597|1298937600000|31
8796093026935|1301616000000|30
6597069783222|1285891200000|32
2199023323136|1320105600000|29
21990232620038|1317427200000|50
10995116290216|1328054400000|35
32985348888425|1335830400000|33
28587302377909|1304208000000|28
32985348885959|1304208000000|31
21990232623409|1301616000000|29
17592186049138|1346457600000|39
48843|1351728000000|32
32985348835117|1320105600000|37
17592186108694|1312156800000|59
13194139574814|1298937600000|28
30786325585147|1333238400000|52
26388279072988|1306886400000|28
32985348896437|1304208000000|30
19791209329641|1312156800000|32
2199023291384|1301616000000|39
17592186077569|1335830400000|34
28587302333408|1328054400000|28
19791209341947|1301616000000|31
10995116326649|1291161600000|32
24189255815697|1283299200000|36
13194139565448|1293840000000|32
26388279085546|1301616000000|44
2199023320307|1301616000000|44
2199023257291|1328054400000|33
26388279134136|1304208000000|30
13194139603418|1343779200000|34
26388279100146|1298937600000|35
19791209330140|1328054400000|37
10995116326628|1325376000000|29
32985348856684|1349049600000|29
4398046575838|1328054400000|29
21990232586730|1320105600000|29
1845|1335830400000|29
8796093080398|1296518400000|29
4398046524836|1285891200000|36
26388279090070|1325376000000|36
2199023256452|1306886400000|41
19791209359097|1312156800000|29
32985348889627|1285891200000|30
8796093054210|1301616000000|42
15393162831103|1346457600000|32
26388279118508|1312156800000|28
17592186115552|1298937600000|31
71983|1304208000000|29
32985348866309|1325376000000|28
19791209360262|1335830400000|38
35184372091310|1325376000000|49
21990232567791|1304208000000|30
4398046523062|1304208000000|29
4398046561854|1317427200000|39
30786325631602|1301616000000|35
17592186065361|1320105600000|29
6597069833774|1301616000000|31
13194139581795|1335830400000|28
24189255814087|1335830400000|28
30786325616485|1301616000000|34
10995116283556|1304208000000|44
40794|1333238400000|47
6597069792647|1325376000000|35
21990232579795|1304208000000|29
17592186084839|1283299200000|28
17592186089906|1296518400000|34
32985348886004|1314835200000|45
10995116321654|1306886400000|45
8796093085864|1301616000000|29
4398046536045|1301616000000|31
26388279119514|1280620800000|35
17592186114106|1293840000000|30
19791209342014|1351728000000|38
17592186094014|1277942400000|40
10995116349628|1306886400000|33
8796093047395|1306886400000|34
19791209327104|1306886400000|38
2792|1314835200000|36
2199023305611|1306886400000|29
10995116280255|1285891200000|32
28587302366689|1325376000000|33
28587302372597|1325376000000|34
26388279137157|1335830400000|29
21990232593981|1346457600000|40
26388279078756|1335830400000|40
19791209348825|1333238400000|35
6597069823412|1312156800000|28
56965|1320105600000|31
19791209338296|1306886400000|30
10995116342274|1304208000000|28
28587302328644|1291161600000|42
15393162834985|1346457600000|36
21990232580448|1335830400000|32
32985348840881|1349049600000|36
6597069834640|1293840000000|34
26388279128331|1335830400000|37
28587302383179|1312156800000|31
30786325612499|1328054400000|29
19791209304149|1309478400000|33
26388279104461|1328054400000|35
32985348860238|1314835200000|30
19513|1280620800000|30
15393162822237|1298937600000|35
24189255817946|1301616000000|32
8796093090358|1298937600000|30
8796093053421|1293840000000|39
17592186091258|1293840000000|33
21990232614392|1293840000000|36
10995116350610|1335830400000|33
8796093029262|1325376000000|28
10995116314395|1304208000000|39
19791209329281|1335830400000|28
26388279095616|1291161600000|29
30786325610010|1283299200000|30
2199023321388|1298937600000|29
24189255862255|1293840000000|32
19791209321086|1291161600000|31
17592186079149|1312156800000|46
19791209370976|1280620800000|30
2199023298085|1333238400000|45
2199023309637|1304208000000|37
15393162852214|1335830400000|33
6597069837228|1333238400000|34
10995116278281|1306886400000|28
24189255873243|1301616000000|33
8796093053785|1280620800000|33
2199023302350|1306886400000|31
2199023282480|1293840000000|28
4398046520418|1330560000000|38
30786325581594|1301616000000|34
6597069838261|1312156800000|30
24189255846620|1312156800000|38
4398046554855|1306886400000|34
13194139554885|1306886400000|39
10995116278033|1301616000000|30
24189255878257|1304208000000|29
6597069767226|1288569600000|34
15393162798620|1333238400000|31
28587302324910|1304208000000|29
10995116344347|1312156800000|39
26388279074522|1304208000000|30
2199023313453|1301616000000|30
26388279129173|1325376000000|33
15393162828083|1306886400000|33
21990232556381|1304208000000|41
13857|1306886400000|33
19791209337634|1304208000000|36
28587302361179|1304208000000|33
32985348896856|1317427200000|40
28587302351659|1285891200000|52
21990232623392|1301616000000|37
8796093043855|1335830400000|28
24189255865339|1277942400000|28
2199023272256|1304208000000|31
28587302339900|1291161600000|31
19791209306662|1304208000000|44
28587302341946|1346457600000|28
15393162808224|1351728000000|31
10995116334402|1335830400000|33
24189255867353|1306886400000|33
19791209314537|1301616000000|30
6597069767061|1304208000000|32
4398046567402|1304208000000|59
30786325580233|1306886400000|38
32985348863921|1325376000000|39
6597069803558|1298937600000|30
8796093037292|1314835200000|30
10995116326747|1306886400000|29
19791209318536|1335830400000|28
8796093070814|1285891200000|28
19791209320301|1298937600000|33
19791209325795|1301616000000|29
8796093053972|1291161600000|36
17592186093267|1296518400000|31
15393162849174|1304208000000|38
19791209354620|1317427200000|28
10995116311907|1328054400000|44
30786325581710|1283299200000|38
6597069816352|1328054400000|34
51789|1351728000000|48
4398046522480|1320105600000|33
26388279084823|1312156800000|30
2199023306175|1285891200000|38
30786325594301|1285891200000|30
24189255847401|1320105600000|32
19791209370882|1298937600000|28
19791209300761|1335830400000|40
24189255876037|1335830400000|29
8796093071523|1304208000000|40
26388279119749|1351728000000|41
6597069827353|1280620800000|43
17592186092232|1312156800000|31
8796093068194|1325376000000|30
15393162829970|1335830400000|42
13194139554074|1320105600000|45
24189255820283|1349049600000|35
15393162857745|1346457600000|35
10039|1309478400000|28
8389|1301616000000|30
6597069794079|1288569600000|33
17592186099612|1304208000000|42
15393162861665|1296518400000|28
4398046533397|1298937600000|36
24189255840535|1349049600000|28
21990232569271|1335830400000|31
46422|1293840000000|46
32985348897744|1306886400000|29
4398046530290|1304208000000|32
15393162827768|1306886400000|32
8796093030416|1333238400000|31
10995116310571|1328054400000|30
32985348888627|1298937600000|31
32985348844991|1306886400000|46
8796093068202|1283299200000|75
19791209337512|1306886400000|33
4398046564816|1293840000000|37
32985348843072|1291161600000|30
17592186107899|1296518400000|36
8796093032135|1312156800000|28
17592186113338|1298937600000|40
8796093076561|1351728000000|44
64022|1335830400000|35
8796093083921|1283299200000|32
10995116339025|1291161600000|28
8796093036258|1304208000000|31
17592186058115|1304208000000|40
6597069825348|1306886400000|32
17592186066681|1306886400000|31
24189255824997|1304208000000|32
35184372111992|1304208000000|33
13194139550916|1296518400000|41
32985348889769|1298937600000|36
26388279078586|1285891200000|33
30786325636576|1301616000000|32
10995116294079|1325376000000|37
24189255882470|1312156800000|43
32985348838956|1309478400000|33
2199023275135|1291161600000|37
2199023270020|1304208000000|38
13194139593701|1291161600000|45
19791209358837|1306886400000|33
28587302344035|1320105600000|32
19791209315957|1291161600000|45
24189255829566|1304208000000|47
32985348841232|1301616000000|28
15393162819379|1335830400000|30
6597069830847|1296518400000|41
6597069799052|1293840000000|30
18503|1296518400000|31
46524|1335830400000|28
34318|1335830400000|28
28587302332754|1335830400000|37
10995116334378|1306886400000|35
8796093025804|1296518400000|31
26388279072405|1320105600000|33
44281|1317427200000|34
4398046553863|1301616000000|38
2199023295808|1301616000000|29
