personId|minDate
40741|1346889600000
28587302374257|1349222400000
2199023290733|1347235200000
26388279068903|1347321600000
17592186071510|1346889600000
13194139552524|1347148800000
17592186051575|1346630400000
21990232563999|1347321600000
10995116290411|1347321600000
24307|1347321600000
24189255841383|1347321600000
4398046542420|1347321600000
30786325612851|1347321600000
2199023294702|1347321600000
10995116325480|1347321600000
30786325637002|1347321600000
15393162850151|1348358400000
6597069836817|1347321600000
13194139604019|1347321600000
32985348863232|1350000000000
8796093038421|1349654400000
2199023288279|1349395200000
24189255825062|1347840000000
10995116314563|1348704000000
15393162833685|1349568000000
4398046524394|1346716800000
13194139550407|1346716800000
21990232576165|1346716800000
28587302350186|1346716800000
17592186079125|1346716800000
8796093022665|1346630400000
26388279068707|1346630400000
28587302324913|1349222400000
4398046517181|1346630400000
17592186063109|1346630400000
21990232576192|1348012800000
28587302348341|1346630400000
30786325604702|1346630400000
6597069795354|1346630400000
30786325627135|1346630400000
15393162842466|1349395200000
17592186101421|1348531200000
2199023317343|1346630400000
8796093084423|1346630400000
32985348895529|1350345600000
19791209371923|1346976000000
32985348855690|1346025600000
10995116328771|1349049600000
15393162789077|1346803200000
28587302325456|1346803200000
6597069783637|1346803200000
10995116302212|1346803200000
15393162814992|1346803200000
28587302367235|1346803200000
24189255881954|1346803200000
15393162857388|1347321600000
26388279134192|1347408000000
2199023275575|1346889600000
26388279091115|1346457600000
15393162818610|1347667200000
30786325594081|1347062400000
30786325585096|1345852800000
32985348843573|1349395200000
4398046530214|1345852800000
4398046531376|1345852800000
30786325610874|1345852800000
26388279100210|1345852800000
24189255852852|1345852800000
26388279110446|1345852800000
46510|1345852800000
21990232611339|1345852800000
60075|1349481600000
8796093082286|1345852800000
32985348896626|1345852800000
2199023321591|1345852800000
32985348894609|1347580800000
30786325589150|1346630400000
4398046534687|1346630400000
17592186077105|1346630400000
19791209340983|1347408000000
8796093067622|1346630400000
30786325631284|1349740800000
13194139548418|1347148800000
10995116350620|1349481600000
21990232621574|1348185600000
10995116346015|1347408000000
2199023273939|1347926400000
4398046566882|1348531200000
26388279133813|1347408000000
15393162823425|1346976000000
19791209301284|1348358400000
28587302361028|1349395200000
17592186072155|1346976000000
4398046523533|1346630400000
28587302348634|1346630400000
24189255839829|1346630400000
19791209333442|1346630400000
38469|1346630400000
4398046557729|1346630400000
24189255873354|1346630400000
30786325641432|1346630400000
17592186113014|1349395200000
19791209314873|1347321600000
21990232578980|1349308800000
10995116324023|1349568000000
30786325579831|1346457600000
8796093048010|1346457600000
4398046543986|1346457600000
19791209333417|1346457600000
19791209333586|1346457600000
50374|1346457600000
15393162851609|1349481600000
15393162857530|1346457600000
28587302330592|1349049600000
2199023257226|1347148800000
21990232569008|1346457600000
28587302382717|1349740800000
8796093073867|1349049600000
21990232568771|1346976000000
4398046515173|1346025600000
8796093043418|1346025600000
