person1Id|person2Id
32985348886934|15393162823425
28587302374257|19791209314074
2199023290733|30786325611643
26388279068903|32985348850838
17592186071510|19791209327555
17592186051575|15393162819366
13194139552524|28587302376895
21990232563999|15393162826154
10995116290411|30786325594081
24307|13194139604019
24189255841383|38648
4398046542420|34892
30786325612851|30786325580308
2199023294702|28587302374257
10995116325480|8796093041082
30786325637002|4398046543598
15393162850151|26388279073319
6597069836817|19791209315948
13194139604019|28587302325579
8796093038421|32985348863232
32985348863232|15393162850151
2199023288279|26388279081825
4398046524394|10995116287048
24189255825062|65883
13194139550407|32985348834678
21990232576165|15393162809421
28587302350186|8796093038421
17592186079125|15393162855875
10995116314563|24189255850312
15393162833685|19791209327555
8796093022665|28587302330681
26388279068707|6597069774872
28587302324913|24189255870476
4398046517181|13194139598143
17592186063109|24189255831888
21990232576192|10995116325480
28587302348341|8796093064695
30786325604702|2199023299559
6597069795354|13194139596206
30786325627135|17592186068610
15393162842466|13194139594789
17592186101421|26388279095018
2199023317343|19791209340983
8796093084423|32985348892534
32985348895529|4398046543598
19791209371923|21990232563271
32985348855690|13194139605451
15393162789077|15393162809421
28587302325456|30786325596362
6597069783637|15393162803106
10995116302212|30786325599360
15393162814992|28587302376866
28587302367235|24189255834589
10995116328771|19791209314074
24189255881954|19791209370105
15393162857388|19791209362572
2199023275575|4398046524394
26388279134192|17592186075172
26388279091115|30786325638524
30786325585096|17592186054288
32985348843573|28587302330592
30786325594081|29994
4398046530214|28587302389801
4398046531376|4398046570528
15393162818610|10995116313304
30786325610874|24189255850312
26388279100210|10995116342472
24189255852852|4398046525915
26388279110446|26388279111234
46510|15393162852357
21990232611339|17592186065999
60075|8796093038421
8796093082286|10995116314563
32985348896626|28587302389801
2199023321591|30786325641156
32985348894609|24189255829036
30786325589150|19791209367722
4398046534687|15393162851609
17592186077105|26388279114725
19791209340983|30786325641156
8796093067622|4398046570138
30786325631284|26388279077855
13194139548418|26388279095018
10995116350620|28587302330681
21990232621574|17592186099185
10995116346015|17592186089535
2199023273939|2199023294609
4398046566882|13194139598143
15393162823425|4398046579267
26388279133813|17592186070543
19791209301284|8796093048586
4398046523533|26388279068903
28587302348634|24189255842891
17592186072155|24189255880427
24189255839829|8796093057199
19791209333442|21990232623053
38469|26388279068526
28587302361028|28587302362097
4398046557729|21990232603353
24189255873354|13194139559152
30786325641432|28587302348341
17592186113014|17592186094144
19791209314873|13194139594172
30786325579831|4398046537733
21990232578980|19791209370105
8796093048010|17592186057225
4398046543986|10995116336513
19791209333417|19791209314871
19791209333586|26388279077855
10995116324023|26388279090844
50374|2199023266429
15393162851609|26388279126315
15393162857530|13194139604019
28587302330592|26388279073319
2199023257226|21990232568771
21990232569008|6597069810425
21990232568771|26388279095018
8796093073867|30786325638524
