date|lengthThreshold|languages
1311292800000|20|ar
1311292800000|20|tk
1311292800000|20|tk
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz
1311292800000|20|uz;tk
1311292800000|20|uz;tk
1311292800000|40|ar
1311292800000|40|tk
1311292800000|40|tk
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz
1311292800000|40|uz;tk
1311292800000|40|uz;tk
1311292800000|113|ar
1311292800000|113|tk
1311292800000|113|tk
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz
1311292800000|113|uz;tk
1311292800000|113|uz;tk
1311292800000|97|ar
1311292800000|97|tk
1311292800000|97|tk
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz
1311292800000|97|uz;tk
1311292800000|97|uz;tk
1311292800000|240|ar
1311292800000|240|tk
1311292800000|240|tk
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz
1311292800000|240|uz;tk
1311292800000|240|uz;tk
1312156800000|20|ar
1312156800000|20|tk
1312156800000|20|tk
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz
1312156800000|20|uz;tk
1312156800000|20|uz;tk
1312156800000|40|ar
1312156800000|40|tk
1312156800000|40|tk
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz
1312156800000|40|uz;tk
1312156800000|40|uz;tk
1312156800000|113|ar
1312156800000|113|tk
1312156800000|113|tk
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz
1312156800000|113|uz;tk
1312156800000|113|uz;tk
1312156800000|97|ar
1312156800000|97|tk
1312156800000|97|tk
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz
1312156800000|97|uz;tk
1312156800000|97|uz;tk
1312156800000|240|ar
1312156800000|240|tk
1312156800000|240|tk
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz
1312156800000|240|uz;tk
1312156800000|240|uz;tk
1312761600000|20|ar
1312761600000|20|tk
1312761600000|20|tk
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz
1312761600000|20|uz;tk
1312761600000|20|uz;tk
1312761600000|40|ar
1312761600000|40|tk
1312761600000|40|tk
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz
1312761600000|40|uz;tk
1312761600000|40|uz;tk
1312761600000|113|ar
1312761600000|113|tk
1312761600000|113|tk
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz
1312761600000|113|uz;tk
1312761600000|113|uz;tk
1312761600000|97|ar
1312761600000|97|tk
1312761600000|97|tk
1312761600000|97|uz
1312761600000|97|uz
1312761600000|97|uz
1312761600000|97|uz
1312761600000|97|uz
