person1Id|person2Id|startDate|endDate
15393162793033|6597069767184|1288569600000|1291161600000
17592186047327|28587302324309|1288569600000|1291161600000
19791209304024|10995116278031|1288569600000|1291161600000
9005|19791209310305|1288569600000|1291161600000
32985348840312|19791209304122|1288569600000|1291161600000
2199023257889|8309|1288569600000|1291161600000
19791209303197|10995116279167|1288569600000|1291161600000
13194139537628|8796093027338|1288569600000|1291161600000
19791209308082|15393162798990|1288569600000|1291161600000
10995116286820|32985348834585|1288569600000|1291161600000
24189255817669|10995116288303|1296518400000|1298937600000
4398046513246|28587302327709|1296518400000|1298937600000
26388279071325|30786325581919|1296518400000|1298937600000
10995116286552|15393162798669|1296518400000|1298937600000
4398046519887|4952|1296518400000|1298937600000
2199023265126|2199023262627|1296518400000|1298937600000
24189255816700|8796093024683|1296518400000|1298937600000
6597069772469|2199023257390|1296518400000|1298937600000
4465|19791209303133|1296518400000|1298937600000
4398046515899|17592186051053|1296518400000|1298937600000
10995116285792|32985348838291|1298937600000|1301616000000
7552|32985348841006|1298937600000|1301616000000
30786325587419|35184372097776|1298937600000|1301616000000
13194139539046|26388279067047|1298937600000|1301616000000
4398046520232|19791209310731|1298937600000|1301616000000
13194139537239|35184372095093|1298937600000|1301616000000
21990232558291|13194139537576|1298937600000|1301616000000
24189255811240|32985348833931|1298937600000|1301616000000
13194139536934|32985348835673|1298937600000|1301616000000
30786325583254|8796093028168|1298937600000|1301616000000
10995116280995|19791209309339|1301616000000|1304208000000
26388279075899|32985348842876|1301616000000|1304208000000
24189255821610|2199023261235|1301616000000|1304208000000
26388279068177|2199023256351|1301616000000|1304208000000
21990232562618|10995116279672|1301616000000|1304208000000
4398046521820|28587302324192|1301616000000|1304208000000
17592186045497|15393162792633|1301616000000|1304208000000
28587302324938|13194139542834|1301616000000|1304208000000
28587302328667|15393162797312|1301616000000|1304208000000
32985348842589|28587302324945|1301616000000|1304208000000
19791209303405|19791209308983|1304208000000|1306886400000
4398046513814|2199023256634|1304208000000|1306886400000
17592186045813|10995116287014|1304208000000|1306886400000
26388279077068|2199023262614|1304208000000|1306886400000
4398046517437|8839|1304208000000|1306886400000
32985348840765|19791209302535|1304208000000|1306886400000
4398046513827|24189255811776|1304208000000|1306886400000
28587302330681|8796093030370|1304208000000|1306886400000
10995116283717|2199023259757|1304208000000|1306886400000
4398046514418|15393162798261|1304208000000|1306886400000
10995116279887|30786325583440|1309478400000|1312156800000
26388279073805|10995116286155|1309478400000|1312156800000
19791209309027|17592186053089|1309478400000|1312156800000
4398046515211|10995116283851|1309478400000|1312156800000
28587302330345|3991|1309478400000|1312156800000
32985348839168|19791209305942|1309478400000|1312156800000
10469|13194139543017|1309478400000|1312156800000
13194139539473|8796093031818|1309478400000|1312156800000
8796093030157|19791209302645|1309478400000|1312156800000
21990232561838|21990232556263|1309478400000|1312156800000
13194139536063|4398046520495|1317427200000|1320105600000
13194139538309|30786325586916|1317427200000|1320105600000
28587302328142|30786325580938|1317427200000|1320105600000
19791209307492|8796093030143|1317427200000|1320105600000
24189255821664|15393162789769|1317427200000|1320105600000
32985348833995|26388279072087|1317427200000|1320105600000
10995116287979|2886|1317427200000|1320105600000
24189255816675|30786325578794|1317427200000|1320105600000
24189255817669|30786325583810|1317427200000|1320105600000
19791209308019|8796093031885|1317427200000|1320105600000
26388279075047|8796093027951|1322697600000|1325376000000
30786325582904|17592186046530|1322697600000|1325376000000
28587302327580|6597069769386|1322697600000|1325376000000
24189255817285|4398046518932|1322697600000|1325376000000
5835|2199023262712|1322697600000|1325376000000
443|32985348838416|1322697600000|1325376000000
17592186054147|21990232559368|1322697600000|1325376000000
6597069775904|15393162798732|1322697600000|1325376000000
32985348834375|13194139543591|1322697600000|1325376000000
21990232565719|28587302328983|1322697600000|1325376000000
10995116278570|21990232565674|1325376000000|1328054400000
13194139543105|17592186053049|1325376000000|1328054400000
4398046515167|8796093028825|1325376000000|1328054400000
21990232565300|24189255811315|1325376000000|1328054400000
17592186046908|6597069768646|1325376000000|1328054400000
24189255815378|8796093026038|1325376000000|1328054400000
26388279073731|8796093030786|1325376000000|1328054400000
8796093022821|15393162793358|1325376000000|1328054400000
17592186052380|6597069768087|1325376000000|1328054400000
8796093030138|19791209300159|1325376000000|1328054400000
30786325584420|28587302325040|1333238400000|1335830400000
28587302326571|4398046518506|1333238400000|1335830400000
26388279068635|8796093028035|1333238400000|1335830400000
24189255815697|6597069774241|1333238400000|1335830400000
21990232559581|10995116279093|1333238400000|1335830400000
8796093026638|21990232557764|1333238400000|1335830400000
2199023258456|21990232565361|1333238400000|1335830400000
21990232557814|28587302324583|1333238400000|1335830400000
4398046516044|2199023262762|1333238400000|1335830400000
30786325582323|4398046511667|1333238400000|1335830400000
