date|likeThreshold
1311292800000|400
1312156800000|400
1312761600000|400
1313366400000|400
1313971200000|400
1314835200000|400
1315440000000|400
1316044800000|400
1316649600000|400
1317427200000|400
1318032000000|400
1318636800000|400
1319241600000|400
1320105600000|400
1320710400000|400
1321315200000|400
1321920000000|400
1322697600000|400
1323302400000|400
1323907200000|400
1324512000000|400
1325376000000|400
1325980800000|400
1326585600000|400
1327190400000|400
1328054400000|400
1328659200000|400
1329264000000|400
1329868800000|400
1330560000000|400
1331164800000|400
1331769600000|400
1332374400000|400
